OriginNode	DestNode	StartTime(sec)	EndTime(sec)	Demand(veh/hr)
1	12	0	300	2200
1	12	300	600	3300
1	12	600	900	4400
1	12	900	1200	5500
1	12	1200	1500	6600
1	12	1500	1800	6800
1	12	1800	2100	7000
1	12	2100	2400	6200
1	12	2400	2700	5200
1	12	2700	3000	4400
1	12	3000	3300	4200
1	12	3300	3600	4200
1	12	3600	3900	4200
1	12	3900	4200	4500
1	12	4200	4500	4700
1	12	4500	4800	4300
1	12	4800	5100	3900
1	12	5100	5400	3500
1	12	5400	5700	3100
1	12	5700	6000	2100
1	12	6000	6300	1000
1	12	6300	6600	100
1	12	6600	6900	0
1	12	6900	7200	0
