OriginNode	DestNode	StartTime(sec)	EndTime(sec)	Demand(veh/hr)
1	12	0	300	5600
1	12	300	600	5600
1	12	600	900	5600
1	12	900	1200	5600
1	12	1200	1500	5600
1	12	1500	1800	5600
1	12	1800	2100	5600
1	12	2100	2400	5600
1	12	2400	2700	5600
1	12	2700	3000	5600
1	12	3000	3300	5600
1	12	3300	3600	5600
1	12	3600	3900	5600
1	12	3900	4200	5600
1	12	4200	4500	5600
1	12	4500	4800	4900
1	12	4800	5100	4200
1	12	5100	5400	3500
1	12	5400	5700	2800
1	12	5700	6000	2100
1	12	6000	6300	1400
1	12	6300	6600	700
1	12	6600	6900	0
1	12	6900	7200	0
